Key,NUTS2 Origin,NUTS2 Destination,Distance (km),Time (h)
AT11-AT11,AT11,AT11,0,0
AT11-AT12,AT11,AT12,131.23,1.43
AT11-AT13,AT11,AT13,93.34,0.95
AT11-AT21,AT11,AT21,289.78,3.36
AT11-AT22,AT11,AT22,169.19,1.95
AT11-AT31,AT11,AT31,268.53,3.22
AT11-AT32,AT11,AT32,361.1,4.29
AT11-AT33,AT11,AT33,493.62,5.9
AT11-AT34,AT11,AT34,656.94,7.93
AT11-BE10,AT11,BE10,1138.79,14.13
AT11-BE21,AT11,BE21,1130.52,13.98
AT11-BE22,AT11,BE22,1059.7,13.03
AT11-BE23,AT11,BE23,1185.63,14.75
AT11-BE24,AT11,BE24,1127.56,13.98
AT11-BE25,AT11,BE25,1238.4,15.46
AT11-BE31,AT11,BE31,1135.87,14.01
AT11-BE32,AT11,BE32,1180.79,14.66
AT11-BE33,AT11,BE33,1036.51,12.75
AT11-BE34,AT11,BE34,1040.6,12.87
AT11-BE35,AT11,BE35,1106.2,13.66
AT11-BG31,AT11,BG31,947.03,10.52
AT11-BG32,AT11,BG32,1116.67,12.51
AT11-BG33,AT11,BG33,1168.56,13.28
AT11-BG34,AT11,BG34,1229.78,13.6
AT11-BG41,AT11,BG41,999.17,10.84
AT11-BG42,AT11,BG42,1121.41,12.24
AT11-CH01,AT11,CH01,941.75,11.37
AT11-CH02,AT11,CH02,873.71,10.65
AT11-CH03,AT11,CH03,805.14,9.88
AT11-CH04,AT11,CH04,742.64,9.11
AT11-CH05,AT11,CH05,695.54,8.37
AT11-CH06,AT11,CH06,815.27,9.77
AT11-CH07,AT11,CH07,801.23,9.48
AT11-CZ01,AT11,CZ01,377.17,4.07
AT11-CZ02,AT11,CZ02,370.74,3.99
AT11-CZ03,AT11,CZ03,341.05,3.86
AT11-CZ04,AT11,CZ04,471.85,5.25
AT11-CZ05,AT11,CZ05,370.88,3.81
AT11-CZ06,AT11,CZ06,244.68,2.54
AT11-CZ07,AT11,CZ07,294.86,3.06
AT11-CZ08,AT11,CZ08,360.15,3.85
AT11-DE11,AT11,DE11,673.62,8.19
AT11-DE12,AT11,DE12,737.09,9.05
AT11-DE13,AT11,DE13,744.09,9.22
AT11-DE14,AT11,DE14,648.7,8.01
AT11-DE21,AT11,DE21,456.92,5.61
AT11-DE22,AT11,DE22,407.95,4.84
AT11-DE23,AT11,DE23,490.05,5.79
AT11-DE24,AT11,DE24,602.2,7.09
AT11-DE25,AT11,DE25,566.96,6.84
AT11-DE26,AT11,DE26,673.4,8.1
AT11-DE27,AT11,DE27,562.15,6.96
AT11-DE30,AT11,DE30,702.33,7.48
AT11-DE40,AT11,DE40,715.25,7.66
AT11-DE50,AT11,DE50,995.07,11.56
AT11-DE60,AT11,DE60,953.34,10.73
AT11-DE71,AT11,DE71,763.89,9.29
AT11-DE72,AT11,DE72,818.65,9.84
AT11-DE73,AT11,DE73,815.32,9.59
AT11-DE80,AT11,DE80,921.02,9.81
AT11-DE91,AT11,DE91,809.08,9.37
AT11-DE92,AT11,DE92,897.31,10.46
AT11-DE93,AT11,DE93,917.87,10.43
AT11-DE94,AT11,DE94,1055.82,12.46
AT11-DEA1,AT11,DEA1,1011.1,12.2
AT11-DEA2,AT11,DEA2,952.8,11.62
AT11-DEA3,AT11,DEA3,1009.33,12.17
AT11-DEA4,AT11,DEA4,925.25,10.93
AT11-DEA5,AT11,DEA5,945.61,11.26
AT11-DEB1,AT11,DEB1,878.69,10.73
AT11-DEB2,AT11,DEB2,937.82,11.55
AT11-DEB3,AT11,DEB3,826.94,10.2
AT11-DED2,AT11,DED2,529.69,5.63
AT11-DED4,AT11,DED4,561.66,6.31
AT11-DED5,AT11,DED5,616.85,6.87
AT11-DEE0,AT11,DEE0,729.76,8.2
AT11-DEF0,AT11,DEF0,1049.85,11.73
AT11-DEG0,AT11,DEG0,683.47,7.96
AT11-DK01,AT11,DK01,1104.06,11.61
AT11-DK02,AT11,DK02,1079.07,11.53
AT11-DK03,AT11,DK03,1169.1,12.97
AT11-DK04,AT11,DK04,1280.36,14.1
AT11-DK05,AT11,DK05,1341.6,14.65
AT11-EE00,AT11,EE00,1664.68,18.28
AT11-EL30,AT11,EL30,1645.81,17.02
AT11-EL41,AT11,EL41,1662.39,17.48
AT11-EL42,AT11,EL42,2008.71,20.87
AT11-EL43,AT11,EL43,1968.56,20.03
AT11-EL51,AT11,EL51,1337.57,14.29
AT11-EL52,AT11,EL52,1202,12.67
AT11-EL53,AT11,EL53,1204.55,12.43
AT11-EL54,AT11,EL54,1213.85,12.34
AT11-EL61,AT11,EL61,1344.03,14.01
AT11-EL62,AT11,EL62,1707.4,17.17
AT11-EL63,AT11,EL63,1373.78,13.88
AT11-EL64,AT11,EL64,1494.39,15.51
AT11-EL65,AT11,EL65,1589.09,16
AT11-ES11,AT11,ES11,2505.17,29.27
AT11-ES12,AT11,ES12,2242.98,26.42
AT11-ES13,AT11,ES13,2084.34,24.52
AT11-ES21,AT11,ES21,1954.42,23.03
AT11-ES22,AT11,ES22,1924.2,22.19
AT11-ES23,AT11,ES23,2018.2,23.23
AT11-ES24,AT11,ES24,1850.43,20.95
AT11-ES30,AT11,ES30,2162.3,24.42
AT11-ES41,AT11,ES41,2170.69,25.38
AT11-ES42,AT11,ES42,2165.2,24.21
AT11-ES43,AT11,ES43,2496.94,27.97
AT11-ES51,AT11,ES51,1641.42,18.58
AT11-ES52,AT11,ES52,1913.89,21.44
AT11-ES53,AT11,ES53,1746.12,19.3
AT11-ES61,AT11,ES61,2423.2,26.81
AT11-ES62,AT11,ES62,2120.34,23.44
