NUTS2_load,NUTS2_unload,Type,Flow_Tons,Flow_TonKMs
AT11,AT11,Rail,20994,3357976
AT11,AT11,Road,358000,716000
AT11,AT12,Rail,140826,22524839
AT11,AT12,Road,2601000,68265846
AT11,AT13,Rail,228181,36497005
AT11,AT13,Road,842000,15718456
AT11,AT21,Rail,49071,7848773
AT11,AT21,Road,683000,39583948
AT11,AT22,Rail,114242,18272753
AT11,AT22,Road,1710000,57862980
AT11,AT31,Rail,153298,24519718
AT11,AT31,Road,2191000,117669846
AT11,AT32,Rail,65770,10519717
AT11,AT32,Road,726000,52431720
AT11,AT33,Rail,81113,12973882
AT11,AT33,Road,1008000,99513792
AT11,AT34,Rail,42492,6796506
AT11,AT34,Road,442000,58073496
AT11,BE10,Rail,1332,853244
AT11,BE10,Road,553,609431.8597
AT11,BE21,Rail,1399,896352
AT11,BE21,Road,5855,6405625.252
AT11,BE22,Rail,469,300618
AT11,BE22,Road,2603,2669398.922
AT11,BE23,Rail,888,569290
AT11,BE23,Road,3818,4380679.517
AT11,BE24,Rail,792,507389
AT11,BE24,Road,1248,1361791.517
AT11,BE25,Rail,747,478578
AT11,BE25,Road,4077,4886051.42
AT11,BE31,Rail,281,180236
AT11,BE31,Road,282,309980.3155
AT11,BE32,Rail,562,360014
AT11,BE32,Road,1637,1870586.192
AT11,BE33,Rail,516,330448
AT11,BE33,Road,1922,1927894.472
AT11,BE34,Rail,116,74231
AT11,BE34,Road,1136,1143980.262
AT11,BE35,Rail,218,139975
AT11,BE35,Road,450,481728.7278
AT11,BG31,Rail,521,79115
AT11,BG31,Road,326,337893.9411
AT11,BG32,Rail,614,93141
AT11,BG32,Road,357,436306.9513
AT11,BG33,Rail,837,127036
AT11,BG33,Road,338,432281.6336
AT11,BG34,Rail,939,142453
AT11,BG34,Road,251,337831.557
AT11,BG41,Rail,3680,558332
AT11,BG41,Road,2869,3137393.566
AT11,BG42,Rail,1090,165410
AT11,BG42,Road,1573,1930599.612
AT11,CH01,Rail,6972,850909
AT11,CH01,Road,10515,4484835.638
AT11,CH02,Rail,8106,989417
AT11,CH02,Road,13642,5398175.22
AT11,CH03,Rail,4959,605248
AT11,CH03,Road,12435,4534389.454
AT11,CH04,Rail,6420,783599
AT11,CH04,Road,7845,2638596.068
AT11,CH05,Rail,5080,620101
AT11,CH05,Road,14203,4474080.807
AT11,CH06,Rail,3473,423871
AT11,CH06,Road,6239,2303658.363
AT11,CH07,Rail,1555,189818
AT11,CH07,Road,6682,2424740.681
AT11,CZ01,Rail,20733,3993138
AT11,CZ01,Road,6471,1635282.529
AT11,CZ02,Rail,9836,1894315
AT11,CZ02,Road,14604,3627651.219
AT11,CZ03,Rail,8636,1663277
AT11,CZ03,Road,13305,3040305.24
AT11,CZ04,Rail,6751,1300176
AT11,CZ04,Road,8608,2721388.047
AT11,CZ05,Rail,9988,1923586
AT11,CZ05,Road,9513,2363933.016
AT11,CZ06,Rail,12650,2436275
AT11,CZ06,Road,11749,1926121.286
AT11,CZ07,Rail,8174,1574190
AT11,CZ07,Road,9654,1907249.066
AT11,CZ08,Rail,8101,1560289
AT11,CZ08,Road,11812,2850303.543
AT11,DE11,Rail,29792,14854647
AT11,DE11,Road,17934,8349437.605
AT11,DE12,Rail,17408,8679592
AT11,DE12,Road,17373,8850349.555
AT11,DE13,Rail,12132,6049007
AT11,DE13,Road,16454,8461786.162
AT11,DE14,Rail,11071,5520184
AT11,DE14,Road,8879,3980824.569
AT11,DE21,Rail,36960,18428690
AT11,DE21,Road,25098,7925822.978
AT11,DE22,Rail,6692,3336848
AT11,DE22,Road,11744,3311220.218
AT11,DE23,Rail,6406,3193847
AT11,DE23,Road,11084,3754066.796
AT11,DE24,Rail,5511,2748042
AT11,DE24,Road,6115,2545085.037
AT11,DE25,Rail,10670,5320240
AT11,DE25,Road,8791,3444734.74
AT11,DE26,Rail,7379,3679185
AT11,DE26,Road,6445,2999584.625
AT11,DE27,Rail,10309,5140291
AT11,DE27,Road,10955,4256275.018
AT11,DE30,Rail,18974,9460815
AT11,DE30,Road,7784,3778410.436
AT11,DE40,Rail,9978,4975243
AT11,DE40,Road,24150,11938233.99
AT11,DE50,Rail,4828,2407074
AT11,DE50,Road,6073,4176591.491
AT11,DE60,Rail,16699,8326156
AT11,DE60,Road,12087,7964003.141
AT11,DE71,Rail,28997,14458105
AT11,DE71,Road,12613,6659081.123
AT11,DE72,Rail,4946,2465917
AT11,DE72,Road,4074,2305071.366
AT11,DE73,Rail,6317,3149829
AT11,DE73,Road,6874,3873492.405
AT11,DE80,Rail,6093,3037922
AT11,DE80,Road,8138,5180263.267
AT11,DE91,Rail,9471,4722539
AT11,DE91,Road,8809,4925872.437
AT11,DE92,Rail,11345,5656571
AT11,DE92,Road,10827,6714531.717
AT11,DE93,Rail,6521,3251549
AT11,DE93,Road,7393,4689936.545
AT11,DE94,Rail,12171,6068773
AT11,DE94,Road,23119,16870346.96
AT11,DEA1,Rail,31170,15541752
AT11,DEA1,Road,41514,29010403.98
AT11,DEA2,Rail,26342,13134222
AT11,DEA2,Road,34383,22641781.8
AT11,DEA3,Rail,12382,6173838
AT11,DEA3,Road,16848,11752942.75
AT11,DEA4,Rail,10973,5470996
AT11,DEA4,Road,10167,6501551.432
AT11,DEA5,Rail,17793,8871857
AT11,DEA5,Road,22114,14452548.87
AT11,DEB1,Rail,7109,3544698
AT11,DEB1,Road,9780,5939359.645
AT11,DEB2,Rail,2293,1143478
AT11,DEB2,Road,6460,4187136.253
AT11,DEB3,Rail,10762,5366235
AT11,DEB3,Road,13103,7488758.506
AT11,DED2,Rail,6806,3393638
AT11,DED2,Road,9339,3418906.584
AT11,DED4,Rail,5778,2881084
AT11,DED4,Road,7151,2775909.856
AT11,DED5,Rail,4632,2309611
AT11,DED5,Road,5772,2460769.734
AT11,DEE0,Rail,8591,4283652
AT11,DEE0,Road,15449,7791938.448
AT11,DEF0,Rail,13083,6523321
AT11,DEF0,Road,13919,10099511.6
AT11,DEG0,Rail,8682,4328886
AT11,DEG0,Road,9174,4333544.669
AT11,DK01,Rail,446,291053
AT11,DK01,Road,422,488553.6467
AT11,DK02,Rail,110,72076
AT11,DK02,Road,298,337188.7026
AT11,DK03,Rail,213,139394
AT11,DK03,Road,1357,1663560.657
AT11,DK04,Rail,225,146646
AT11,DK04,Road,698,937118.8053
AT11,DK05,Rail,94,61495
AT11,DK05,Road,299,420631.0911
AT11,EE00,Road,899,1597534.88
AT11,EL30,Rail,7457,941859
AT11,EL30,Road,2650,4117121.371
AT11,EL41,Rail,217,27396
AT11,EL41,Road,32,50217.02674
AT11,EL42,Rail,537,67786
AT11,EL42,Road,20,37924.10467
AT11,EL43,Rail,777,98118
AT11,EL43,Road,197,366085.8828
AT11,EL51,Rail,609,76974
AT11,EL51,Road,366,462131.6406
AT11,EL52,Rail,2089,263865
AT11,EL52,Road,3474,3941870.759
AT11,EL53,Rail,366,46229
AT11,EL53,Road,10,11370.85002
AT11,EL54,Rail,344,43393
AT11,EL54,Road,408,467512.5622
AT11,EL61,Rail,787,99368
AT11,EL61,Road,358,454213.5529
AT11,EL62,Rail,276,34875
AT11,EL62,Road,100,161177.1145
AT11,EL63,Rail,708,89399
AT11,EL63,Road,334,433143.4542
AT11,EL64,Rail,680,85894
AT11,EL64,Road,617,870396.6604
AT11,EL65,Rail,683,86273
AT11,EL65,Road,195,292517.0637
AT11,ES11,Rail,226,115159
AT11,ES11,Road,786,2072794.048
AT11,ES12,Rail,86,43899
AT11,ES12,Road,172,406116.1426
AT11,ES13,Rail,50,25222
AT11,ES13,Road,140,307180.0475
AT11,ES21,Rail,269,137299
AT11,ES21,Road,1247,2565551.614
AT11,ES22,Rail,75,38135
AT11,ES22,Road,487,986451.1331
AT11,ES23,Rail,32,16277
AT11,ES23,Road,73,155089.8823
AT11,ES24,Rail,136,69500
AT11,ES24,Road,718,1398599.954
AT11,ES30,Rail,822,418717
AT11,ES30,Road,1178,2681375.539
AT11,ES41,Rail,217,110500
AT11,ES41,Road,816,1864594.371
AT11,ES42,Rail,150,76244
AT11,ES42,Road,487,1110001.036
AT11,ES43,Rail,70,35634
AT11,ES43,Road,334,877911.985
AT11,ES51,Rail,827,421242
AT11,ES51,Road,3934,6797519.794
AT11,ES52,Rail,410,209124
AT11,ES52,Road,1078,2171861.559
AT11,ES53,Rail,110,56173
AT11,ES53,Road,24,44114.53776
AT11,ES61,Rail,582,296754
AT11,ES61,Road,986,2515142.407
AT11,ES62,Rail,111,56790
AT11,ES62,Road,366,816926.5226
AT11,ES63,Rail,6,3284
AT11,ES63,Road,6,16506.31839
AT11,ES64,Rail,6,2979
AT11,ES64,Road,1,0
AT11,ES70,Rail,166,84335
AT11,ES70,Road,17,0
AT11,FR10,Rail,4061,1419557
AT11,FR10,Road,3663,4044065.883
AT11,FR21,Rail,227,79406
AT11,FR21,Road,1927,1838543.697
AT11,FR22,Rail,292,101902
AT11,FR22,Road,2210,2447807.883
AT11,FR23,Rail,324,113202
AT11,FR23,Road,1022,1233018.815
AT11,FR24,Rail,429,150055
AT11,FR24,Road,1188,1422819.796
AT11,FR25,Rail,237,82982
AT11,FR25,Road,508,676324.237
AT11,FR26,Rail,278,97278
AT11,FR26,Road,988,995025.2184
AT11,FR30,Rail,672,234762
AT11,FR30,Road,5738,6404915.077
AT11,FR41,Rail,359,125463
AT11,FR41,Road,3266,2686316.513
AT11,FR42,Rail,352,122993
AT11,FR42,Road,2537,1938887.933
AT11,FR43,Rail,183,64113
AT11,FR43,Road,811,701768.713
AT11,FR51,Rail,673,235141
AT11,FR51,Road,1210,1661771.231
AT11,FR52,Rail,564,197156
AT11,FR52,Road,710,1078290.486
AT11,FR53,Rail,300,104725
AT11,FR53,Road,498,676358.5325
AT11,FR61,Rail,593,207433
AT11,FR61,Road,2048,3012336.999
AT11,FR62,Rail,543,189963
AT11,FR62,Road,1220,1695176.165
AT11,FR63,Rail,112,39134
AT11,FR63,Road,255,325630.5268
AT11,FR71,Rail,1315,459569
AT11,FR71,Road,2973,3002299.642
AT11,FR72,Rail,225,78496
AT11,FR72,Road,403,474960.3227
AT11,FR81,Rail,419,146625
AT11,FR81,Road,2024,2522200.535
AT11,FR82,Rail,940,328688
AT11,FR82,Road,1716,1794836.997
AT11,FR83,Rail,53,18563
AT11,FR83,Road,55,50769.61502
AT11,FRA1,Rail,56,19697
AT11,FRA1,Road,3,0
AT11,FRA2,Rail,56,19521
AT11,FRA2,Road,2,0
AT11,FRA3,Rail,26,9165
AT11,FRA3,Road,4,0
AT11,FRA4,Rail,114,39947
AT11,FRA4,Road,6,0
AT11,FRA5,Rail,14,4841
AT11,HR03,Rail,5190,216961
AT11,HR03,Road,5561,2018714.018
AT11,HR04,Rail,11131,465275
AT11,HR04,Road,16920,3504498.283
AT11,HU10,Rail,76363,13377691
AT11,HU10,Road,28717,4415366.034
AT11,HU21,Rail,16346,2863559
AT11,HU21,Road,13494,1411815.046
AT11,HU22,Rail,17767,3112587
AT11,HU22,Road,18714,961874.1237
AT11,HU23,Rail,9812,1718969
AT11,HU23,Road,1811,260634.469
AT11,HU31,Rail,12585,2204782
AT11,HU31,Road,6419,1572046.788
AT11,HU32,Rail,15460,2708308
AT11,HU32,Road,3185,835020.5362
AT11,HU33,Rail,14743,2582752
AT11,HU33,Road,6648,1531027.628
AT11,IE01,Road,155,301096.9958
AT11,IE02,Road,280,547465.6745
AT11,ITC1,Rail,14928,3257263
AT11,ITC1,Road,30792,16636330.5
AT11,ITC2,Rail,513,111862
AT11,ITC2,Road,574,332738.967
AT11,ITC3,Rail,5586,1218945
AT11,ITC3,Road,8908,4920837.941
AT11,ITC4,Rail,41867,9135117
AT11,ITC4,Road,73438,33420655.81
AT11,ITF1,Rail,3820,833515
AT11,ITF1,Road,3621,1943050.722
AT11,ITF2,Rail,708,154520
AT11,ITF2,Road,61,36514.59312
AT11,ITF3,Rail,11785,2571336
AT11,ITF3,Road,7090,4702971.507
AT11,ITF4,Rail,8455,1844797
AT11,ITF4,Road,4515,2774273.376
AT11,ITF5,Rail,1342,292799
AT11,ITF5,Road,990,671611.2154
AT11,ITF6,Rail,3844,838707
AT11,ITF6,Road,1158,893221.0751
AT11,ITG1,Rail,10242,2234753
AT11,ITG1,Road,1392,1270929.229
AT11,ITG2,Rail,3807,830677
AT11,ITG2,Road,315,263224.1836
AT11,ITH1,Rail,2519,549539
AT11,ITH1,Road,11650,3619274.713
AT11,ITH2,Rail,2181,475885
AT11,ITH2,Road,6145,2208569.016
AT11,ITH3,Rail,17773,3877924
AT11,ITH3,Road,46744,14979217.89
AT11,ITH4,Rail,4181,912207
AT11,ITH4,Road,22803,5758605.287
AT11,ITH5,Rail,17525,3823988
AT11,ITH5,Road,28319,12250900.09
AT11,ITI1,Rail,12932,2821657
AT11,ITI1,Road,9558,4826538.408
AT11,ITI2,Rail,2513,548260
AT11,ITI2,Road,2123,1124386.289
AT11,ITI3,Rail,4758,1038135
AT11,ITI3,Road,4510,2117173.908
AT11,ITI4,Rail,21407,4670930
AT11,ITI4,Road,8893,5161738.444
AT11,LT00,Rail,99,28427
AT11,LT00,Road,899,1266174.583
AT11,LU00,Rail,297,198986
AT11,LU00,Road,2060,2499373.951
AT11,LV00,Road,841,1212515.438
AT11,NL11,Rail,1234,332803
AT11,NL11,Road,615,719093.1027
AT11,NL12,Rail,857,231222
AT11,NL12,Road,538,650054.9781
AT11,NL13,Rail,651,175636
